"","Pnt_ID","Serial","DateTime","Micro_1","Breed_Col","bpmTempC","dwsTempOut","ModTempC"
"4828","4828","245762a",2021-07-01 10:44:00,"Shade - Partial","Can?t tell",37.3542541807036,30.2949159005121,45.0040574503534
"4839","4839","229079",2021-07-01 11:27:00,"Shade - Partial","",20.7194737060749,31.8681131028607,47.5747239569757
"4844","4844","245748",2021-07-01 11:40:00,"Burrow","",33.1664914111049,32.2927349717174,49.0218863332578
"4845","4845","229063",2021-07-01 11:42:00,"Burrow","",32.9607201094928,32.3555825886352,49.5725088537297
"4850","4850","245744",2021-07-01 11:52:00,"Shade - Partial","Can?t tell",43.5817750144584,32.6592547798214,38.8029276910675
"4853","4853","245752",2021-07-01 12:00:00,"Burrow","",32.4178917258827,32.8888888888889,47.9925795348901
"4854","4854","252883",2021-07-01 12:02:00,"Burrow","",33.150411878069,32.9443654664764,48.2424743319063
"4855","4855","245742",2021-07-01 12:06:00,"Burrow","",32.3878268191933,33.0529849789579,48.1141270014375
"4856","4856","245741",2021-07-01 12:09:00,"Shade - Full","",40.4107838423227,33.1324263349639,45.6778386963752
"4857","4857","229070a",2021-07-01 12:09:00,"Burrow","",35.0244636960596,33.1324263349639,47.9425579414869
"4858","4858","252886",2021-07-01 12:11:00,"Burrow","",36.2819628129386,33.1844326583233,49.2519569714475
"4860","4860","229078",2021-07-01 12:14:00,"Burrow","",33.8095431631091,33.2610221193809,48.3404942037162
"4862","4862","229069",2021-07-01 12:18:00,"Burrow","",40.636460439403,33.3605155680278,47.3105488904616
"4865","4865","245761",2021-07-01 12:23:00,"Burrow","",41.4676222604794,33.4807156019003,49.1333678401549
"4868","4868","252881",2021-07-01 12:28:00,"Burrow","",33.1965102187372,33.5963549910352,47.4156099683606
"4870","4870","245753",2021-07-01 12:31:00,"Burrow","",35.2443842073248,33.6635803172038,52.2236626697206
"4872","4872","245762a",2021-07-01 12:35:00,"Shade - Partial","Can?t tell",42.625461498999,33.7507292317893,52.7600910881232
"4875","4875","245745",2021-07-01 13:22:00,"Shade - Full","",42.3174183825887,34.5747865082925,44.7251519240461
"4878","4878","245748",2021-07-01 13:31:00,"Burrow","",33.1664914111049,34.6935296811891,53.6092288246067
"4881","4881","245744",2021-07-01 13:36:00,"Shade - Full","Can?t tell",42.7102135348929,34.7544953562184,48.4280475469838
"4883","4883","229063",2021-07-01 13:39:00,"Burrow","",32.9607201094928,34.7893998109202,51.9924213413734
"4886","4886","245752",2021-07-01 13:45:00,"Burrow","",33.6447154622102,34.85551471812,51.0776361546897
"4887","4887","252883",2021-07-01 13:46:00,"Burrow","",34.3911887908346,34.8660619279239,50.5229107958094
"4889","4889","245742",2021-07-01 13:49:00,"Burrow","",34.6934623389959,34.8969063619272,50.4842145275657
"4892","4892","229070a",2021-07-01 13:53:00,"Burrow","",36.0840212687616,34.936194265685,50.9370735132044
"4893","4893","252886",2021-07-01 13:56:00,"Burrow","",38.6162429735372,34.9643024195425,52.4532999385813
"4894","4894","229078",2021-07-01 13:59:00,"Burrow","",36.0499122390537,34.9912645376256,49.6873241168076
"4895","4895","229079",2021-07-01 14:05:00,"Burrow","",16.8776122207034,35.0418202330491,51.2722964524003
"4896","4896","229069",2021-07-01 14:05:00,"Burrow","",39.7744927019324,35.0418202330491,48.4593482514912
"4898","4898","245761",2021-07-01 14:09:00,"Burrow","",41.4676222604794,35.0730993048366,51.3295742834126
"4900","4900","252881",2021-07-01 14:12:00,"Burrow","",35.6270273248191,35.0953247790054,48.6883674427304
"4902","4902","245753",2021-07-01 14:16:00,"Burrow","",37.346340133821,35.1233578264045,53.7927220517571
"4904","4904","245762a",2021-07-01 14:19:00,"Shade - Partial","Can?t tell",40.9262483090665,35.1432120515634,49.491232174034
"4911","4911","245741",2021-07-01 14:44:00,"Burrow","",35.1980560060791,35.2728589259969,47.5636535452886
"4922","4922","245745",2021-07-01 15:23:00,"Shade - Full","",42.3174183825887,35.3714300435322,48.4648522023536
"4933","4933","229079",2021-07-02 07:19:00,"Open","",16.8776122207034,26.0516609839216,30.8302444570392
"4939","4939","245744",2021-07-02 07:34:00,"Burrow","",32.931442603789,27.3111997587613,29.8930257185766
"4943","4943","245762a",2021-07-02 07:45:00,"Burrow","",34.3350016008119,28.1471485560454,30.9165474552673
"4946","4946","245761",2021-07-02 07:54:00,"Burrow","",28.2549281471002,28.7536974503018,30.4465941030817
"4947","4947","229069",2021-07-02 07:56:00,"Burrow","",30.9873302217995,28.8773190407334,33.9316078685052
"4948","4948","245741",2021-07-02 07:59:00,"Open","",38.3486853162381,29.0543973519581,35.7965458372641
"4949","4949","252881",2021-07-02 08:00:00,"Burrow","",28.7313613274519,29.1111111111111,35.0392420832213
"4952","4952","245753",2021-07-02 08:05:00,"Burrow","",31.4395969569273,29.3771042894272,33.5146759118563
"4954","4954","229078",2021-07-02 08:09:00,"Burrow","",29.7008592094851,29.5695743527439,36.516879744948
"4956","4956","252886",2021-07-02 08:11:00,"Burrow","",29.7120810494118,29.659328168262,37.0326097678007
"4957","4957","229070a",2021-07-02 08:13:00,"Burrow","",35.0244636960596,29.7449035295317,33.3743809180438
"4959","4959","245742",2021-07-02 08:15:00,"Burrow","",29.6545170108507,29.8264072039365,33.3475102743887
"4961","4961","252883",2021-07-02 08:18:00,"Burrow","",28.7008743641143,29.941261856324,36.9236539766111
"4962","4962","245752",2021-07-02 08:19:00,"Burrow","",29.592067863694,29.9776265616865,32.7354702364167
"4965","4965","229063",2021-07-02 08:24:00,"Burrow","",32.9607201094928,30.1456493142818,37.0822349803325
"4967","4967","245748",2021-07-02 08:26:00,"Burrow","",28.7918046289611,30.206667177914,32.7074646957912
"4969","4969","245745",2021-07-02 08:42:00,"Open","",40.2856155276037,30.5821813878575,37.9459728331098
"4975","4975","245744",2021-07-02 08:58:00,"Shade - Partial","Can?t tell",40.0385983930137,30.7961877705354,40.9682597436256
"4979","4979","245753",2021-07-02 09:07:00,"Burrow","",31.4395969569273,30.8661105979445,40.1905298629965
"4982","4982","245762a",2021-07-02 09:13:00,"Shade - Full","Can?t tell",40.9262483090665,30.8987493652565,42.8456474703022
